Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;1199;008;001;01;05;06;02;2;6;0;0;0;0;0;1;39;20;9;5,9;0;1;1;3;6;3;6;5;2;0;99;99;6;1;1;3;8;16;  ;  ;  ;  ;  ; ; ; ;21
AE;1199;010;001;01;03;06;09;2;3;0;1;0;0;0;6;40;11;8;3,3;3;2;8;7;999;999;0;0;0;0;99;1;0;0;0;0;4;31;02;11;  ;  ;  ;2; ; ;02
AE;1199;010;002;01;05;06;02;2;2;0;0;0;0;0;2;21;14;5;1,5;3;2;4;3;999;999;0;0;0;0;0;99;0;0;0;0;0;04;  ;  ;  ;  ;  ;0; ; ;08
AE;1199;041;001;01;06;05;03;2;3;0;0;0;0;0;2;39;29;7;7,6;3;2;6;3;12;6;1;1;2;0;2;1;0;0;0;3;1;06;  ;  ;  ;  ;  ;0; ; ;09
AE;1199;041;002;01;05;;02;2;1;4;0;2;0;0;6;27;18;6;2,7;0;1;2;2;12;6;3;1;2;1;0;1;0;0;0;3;8;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1199;041;003;01;01;09;02;3;0;0;0;0;0;0;6;27;13;3;0,9;3;2;8;7;999;999;0;0;0;0;0;2;0;0;0;0;0;01;  ;  ;  ;  ;  ;0; ; ;01
AE;1225;008;001;01;05;06;02;2;2;0;0;0;0;0;2;18;17;4;0,9;0;1;2;3;998;998;1;6;2;0;99;99;0;0;0;3;3;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;1233;010;001;01;05;06;02;2;3;0;1;2;0;0;2;35;27;9;10,6;0;2;2;3;12;5;1;1;2;1;1;1;0;0;0;9;1;31;31;  ;  ;  ;  ;0; ; ;22
AE;1233;010;002;01;06;05;03;1;3;0;0;0;0;0;2;34;23;5;5,9;3;2;2;4;9;4;1;1;2;0;2;1;0;0;0;3;1;10;04;31;  ;  ;  ;2; ; ;08
AE;1233;025;001;01;05;06;02;2;7;4;0;3;0;0;2;24;16;4;1,9;3;2;4;7;999;999;0;0;0;1;0;99;0;0;0;0;1;14;12;  ;  ;  ;  ;2; ; ;04
